
 
,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
,,,,,,,,,,,,,,,,,,,
1,Air Force,1957,2023,67,766,418,336,12,.554,29,15,13,1,.534,1.32,-0.79,7,3,
2,Akron,1975,2023,38,425,155,267,3,.368,3,1,2,0,.333,-12.00,-6.61,0,1,
3,Alabama,1902,2023,120,1318,967,309,42,.750,76,46,27,3,.625,13.82,4.27,60,29,record adjusted to 938-318-41 by NCAA
4,Alameda Coast Guard,1943,1944,2,15,8,4,3,.633,0,0,0,0,,-0.16,-5.13,0,0,
5,Alcorn State,1977,1977,1,11,3,8,0,.273,0,0,0,0,,-17.10,-9.19,0,0,
6,Amarillo Field,1944,1944,1,8,5,3,0,.625,0,0,0,0,,5.10,-1.78,0,0,
7,Amherst,1877,1906,25,239,108,109,22,.498,0,0,0,0,,-1.08,-0.09,0,0,
8,Appalachian State,1972,2023,20,226,135,86,5,.608,7,6,1,0,.857,-1.11,-6.33,1,4,
9,Arizona,1931,2023,90,973,496,453,23,.522,20,9,10,1,.475,1.27,0.66,7,6,
10,Arizona State,1931,2023,90,985,589,372,18,.611,33,15,17,1,.470,3.47,-1.27,17,17,record adjusted to 584-377-18 by NCAA
11,Arkansas,1906,2023,118,1249,702,508,37,.578,44,17,24,3,.420,6.49,3.11,29,14,record adjusted to 703-507-37 by NCAA
12,Arkansas State,1974,2023,42,479,210,267,2,.441,10,4,6,0,.400,-9.19,-6.66,0,7,record adjusted to 200-267-2 by NCAA
13,Army,1891,2023,130,1291,707,532,51,.568,10,7,3,0,.700,3.34,-0.28,15,0,
14,Auburn,1902,2023,121,1267,767,454,43,.624,46,24,20,2,.543,8.88,4.60,40,8,record adjusted to 770-452-42 by NCAA
15,Ball State,1975,2023,49,552,269,279,4,.491,9,1,8,0,.111,-7.86,-7.12,1,6,
16,Bates,1901,1905,3,21,10,8,3,.548,0,0,0,0,,-0.94,-1.28,0,0,
17,Baylor,1903,2023,118,1242,615,584,41,.513,27,14,13,0,.519,2.84,2.69,16,9,record adjusted to 615-584-40 by NCAA
18,Beloit,1894,1905,9,85,39,36,10,.518,0,0,0,0,,-1.30,-1.39,0,0,
19,Birmingham-Southern,1920,1924,4,36,16,17,3,.486,0,0,0,0,,-5.29,-4.68,0,0,
20,Boise State,1996,2023,28,342,263,79,0,.769,20,13,7,0,.650,6.01,-4.15,13,14,record adjusted to 264-78-0 by NCAA
21,Boston College,1901,2023,89,954,521,417,14,.555,27,14,13,0,.519,1.84,0.00,14,1,
22,Boston University,1923,1964,20,170,73,90,7,.450,0,0,0,0,,-6.91,-4.99,1,0,
